# =============================================================================
# Suzume User Dictionary - Common Compound Words (一般複合語)
# =============================================================================
#
# Format: surface<TAB>pos
#
# =============================================================================

# --- Adverbs (副詞) ---
いつの間にか	ADVERB

# --- Nouns (名詞) ---
キャミソール	NOUN
セーラー服	NOUN
タンクトップ	NOUN
つめあわせ	NOUN
ノースリーブ	NOUN
スクール水着	NOUN
コーヒー豆	NOUN
カレー粉	NOUN
ビール瓶	NOUN
バス停	NOUN
生ビール	NOUN
生クリーム	NOUN
生チョコ	NOUN
電子レンジ	NOUN
洗濯バサミ	NOUN
掃除ロボット	NOUN
炊飯ジャー	NOUN
布団カバー	NOUN
朝ドラ	NOUN
昼ドラ	NOUN
ダム湖	NOUN
ビル街	NOUN
ワイン畑	NOUN
ピンク色	NOUN
ベレー帽	NOUN
ニット帽	NOUN
ダンボール箱	NOUN
ビー玉	NOUN
パチンコ玉	NOUN
ビジュアル系	NOUN
ギャル系	NOUN
パンク系	NOUN
ゴスロリ系	NOUN
ロリータ系	NOUN
プラスチック製	NOUN
ガラス製	NOUN
ステンレス製	NOUN
レモン水	NOUN
ソーダ水	NOUN
ハーブ茶	NOUN
タクシー代	NOUN
バス代	NOUN
ガス代	NOUN
ホテル代	NOUN
生キャラメル	NOUN
生ハム	NOUN
生パスタ	NOUN
電子メール	NOUN
電子マネー	NOUN
電子タバコ	NOUN
紙コップ	NOUN
紙ナプキン	NOUN
鉄パイプ	NOUN
鉄アレイ	NOUN
金メダル	NOUN
銀メダル	NOUN
銅メダル	NOUN
白ワイン	NOUN
赤ワイン	NOUN
黒ビール	NOUN
青リンゴ	NOUN
白バイ	NOUN
缶ビール	NOUN
缶コーヒー	NOUN
缶ジュース	NOUN
粉ミルク	NOUN
粉チーズ	NOUN
板チョコ	NOUN
消しゴム	NOUN
筆ペン	NOUN
歯ブラシ	NOUN
虫メガネ	NOUN
猫カフェ	NOUN
犬カフェ	NOUN
牛タン	NOUN
鶏ガラ	NOUN
革ジャン	NOUN
鳥インフルエンザ	NOUN
Tシャツ	NOUN
Yシャツ	NOUN
Gパン	NOUN
A型	NOUN
B型	NOUN
O型	NOUN
AB型	NOUN
X線	NOUN
レトロ風	NOUN
モダン風	NOUN
ゴシック風	NOUN
アジア風	NOUN
和風テイスト	NOUN
ラーメン店	NOUN
ケーキ店	NOUN
パン店	NOUN
携帯ケース	NOUN
携帯カバー	NOUN
手帳カバー	NOUN
手帳ケース	NOUN
水ギョーザ	NOUN
焼きギョーザ	NOUN
おうちカフェ	NOUN
いちごミルク	NOUN
ウーロン茶	NOUN
オリーブ油	NOUN
中トロ	NOUN
大トロ	NOUN
豚バラ	NOUN
鶏モモ	NOUN
鶏ムネ	NOUN
牛バラ	NOUN
湯タンポ	NOUN
USBメモリ	NOUN
USBケーブル	NOUN
LED電球	NOUN
LEDライト	NOUN
3Dプリンター	NOUN
3Dメガネ	NOUN
