# Character names dictionary (姓名辞書)
# Format: surface	PROPER_NOUN	FAMILY/GIVEN
# Family names that are difficult to tokenize (unusual kanji compounds)
優木	PROPER_NOUN	FAMILY
西住	PROPER_NOUN	FAMILY
暁美	PROPER_NOUN	FAMILY
星奈	PROPER_NOUN	FAMILY
白菊	PROPER_NOUN	FAMILY
矢澤	PROPER_NOUN	FAMILY
絢瀬	PROPER_NOUN	FAMILY
西木野	PROPER_NOUN	FAMILY
十六夜	PROPER_NOUN	FAMILY
香風	PROPER_NOUN	FAMILY
蝶野	PROPER_NOUN	FAMILY
小原	PROPER_NOUN	FAMILY
黒澤	PROPER_NOUN	FAMILY
桑山	PROPER_NOUN	FAMILY
白雪	PROPER_NOUN	FAMILY
四季	PROPER_NOUN	FAMILY
涼宮	PROPER_NOUN	FAMILY
朝比奈	PROPER_NOUN	FAMILY
二階堂	PROPER_NOUN	FAMILY
御坂	PROPER_NOUN	FAMILY
牧瀬	PROPER_NOUN	FAMILY
佐天	PROPER_NOUN	FAMILY
初音	PROPER_NOUN	FAMILY
巡音	PROPER_NOUN	FAMILY
鶴屋	PROPER_NOUN	FAMILY
# Common family names (needed when combined with registered given names)
中川	PROPER_NOUN	FAMILY
結城	PROPER_NOUN	FAMILY
園田	PROPER_NOUN	FAMILY
松浦	PROPER_NOUN	FAMILY
岡崎	PROPER_NOUN	FAMILY
松尾	PROPER_NOUN	FAMILY
大野	PROPER_NOUN	FAMILY
望月	PROPER_NOUN	FAMILY
長門	PROPER_NOUN	FAMILY
日向	PROPER_NOUN	FAMILY
渋谷	PROPER_NOUN	FAMILY
# Given names that are difficult to tokenize (mixed script, unusual readings)
せつ菜	PROPER_NOUN	GIVEN
しほ	PROPER_NOUN	GIVEN
ほむら	PROPER_NOUN	GIVEN
まどか	PROPER_NOUN	GIVEN
さやか	PROPER_NOUN	GIVEN
ひかる	PROPER_NOUN	GIVEN
ほたる	PROPER_NOUN	GIVEN
にこ	PROPER_NOUN	GIVEN
海未	PROPER_NOUN	GIVEN
鞠莉	PROPER_NOUN	GIVEN
果南	PROPER_NOUN	GIVEN
映姫	PROPER_NOUN	GIVEN
咲夜	PROPER_NOUN	GIVEN
千雪	PROPER_NOUN	GIVEN
千夜	PROPER_NOUN	GIVEN
菜々	PROPER_NOUN	GIVEN
梨斗	PROPER_NOUN	GIVEN
泰葉	PROPER_NOUN	GIVEN
紅葉	PROPER_NOUN	GIVEN
赤蛮奇	PROPER_NOUN	GIVEN
刑部姫	PROPER_NOUN	GIVEN
絵里	PROPER_NOUN	GIVEN
真姫	PROPER_NOUN	GIVEN
有希	PROPER_NOUN	GIVEN
千鶴	PROPER_NOUN	GIVEN
夏帆	PROPER_NOUN	GIVEN
加奈子	PROPER_NOUN	GIVEN
裕美	PROPER_NOUN	GIVEN
智乃	PROPER_NOUN	GIVEN
マミ	PROPER_NOUN	GIVEN
杏子	PROPER_NOUN	GIVEN
みくる	PROPER_NOUN	GIVEN
美琴	PROPER_NOUN	GIVEN
紅莉栖	PROPER_NOUN	GIVEN
桐乃	PROPER_NOUN	GIVEN
ミク	PROPER_NOUN	GIVEN
ルカ	PROPER_NOUN	GIVEN
ハルヒ	PROPER_NOUN	GIVEN
ダイヤ	PROPER_NOUN	GIVEN
凛	PROPER_NOUN	GIVEN
お嬢さん	NOUN
お客様	NOUN
お客さん	NOUN
おねえさん	NOUN
おにいさん	NOUN
おとうさん	NOUN
おかあさん	NOUN
お嬢様	NOUN
